info_sources,n,percent
Social media (TikTok / Instagram),1422,0.6460699681962744
Friends or family,1337,0.607451158564289
Television or radio,440,0.19990913221263062
News websites or online newspapers,432,0.19627442071785553
Official sources (government / consulate),219,0.09950022716946842
None/I have not received any information,89,0.040436165379373015
Other (please specify),44,0.019990913221263062
