trust,voted,n,percent
A fair amount,No,515,0.7346647646219686
A fair amount,Yes,186,0.2653352353780314
A great deal,No,34,0.5074626865671642
A great deal,Yes,33,0.4925373134328358
Not at all,No,131,0.8562091503267973
Not at all,Yes,22,0.1437908496732026
Not Sure,No,122,0.9457364341085271
Not Sure,Yes,7,0.05426356589147287
Not very much,No,588,0.8132780082987552
Not very much,Yes,135,0.18672199170124482
