ethnicity,n,percent
Hispanic,1525,0.8709308966304968
Two or more races,113,0.06453455168475157
White,66,0.03769274700171331
Other,19,0.010850942318675044
Native American,17,0.009708737864077669
Asian,8,0.004568817818389492
Black,3,0.0017133066818960593
