ease_vote,n,percent
Neither easy nor difficult,278,0.1404040404040404
Not Sure,858,0.43333333333333335
Somewhat difficult,245,0.12373737373737374
Somewhat easy,176,0.08888888888888889
Very difficult,215,0.10858585858585859
Very easy,208,0.10505050505050505
