category,n,percent
Did not vote / unable to vote,412,0.24700239808153476
Distance / polling location,395,0.236810551558753
Other,306,0.18345323741007194
ID / eligibility,264,0.15827338129496402
Time / scheduling,69,0.04136690647482014
Easy / smooth process,68,0.0407673860911271
Lines / waiting,55,0.03297362110311751
Lack of clear information on voting,52,0.03117505995203837
Lack of clear information about candidates,47,0.02817745803357314
